日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1,收盤價,5日均線,20日均線,均線排列,均線濾網,均線濾網註記
2026-09-11,4585.TW,-0.522,-52.2,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,所羅門,298.0,294.4,296.85,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6415.TW,0.434,43.4,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,台達電,401.0,410.5,434.02,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6526.TW,0.32,32.0,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,聯發科,624.0,639.6,614.25,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3231.TW,-0.241,-24.1,弱偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 102 天（樣本尚可（100–200，具參考意義））,南亞科,185.5,189.1,183.82,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2615.TW,1.0,100.0,強烈偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,陽明,112.0,113.2,113.85,空頭排列,訊號未過濾(偏多),分數強烈偏多，但均線還不是多頭排列或尚未站上5日線，暫不列入推薦
2026-09-11,8039.TW,0.258,25.8,弱偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,台光電,272.0,293.3,298.12,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2301.TW,-0.156,-15.6,弱偏空延續,納入 2 檔關聯股；其中天數樣本最少的一檔為 222 天（樣本充足（>200，具統計意義））,台達電,277.0,289.3,291.05,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2464.TW,-0.412,-41.2,中度偏空延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,廣運,188.5,196.4,193.0,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2059.TW,-1.0,-100.0,強烈偏空延續,納入 2 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,勤誠,12080.0,12711.0,13721.5,空頭排列,留意/警示,分數強烈偏空，均線也是空頭排列且跌破5日線，兩者一致
2026-09-11,6214.TW,0.904,90.4,強烈偏多延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 216 天（樣本充足（>200，具統計意義））,零壹,188.5,186.7,182.3,多頭排列,推薦買進,分數強烈偏多，均線也是多頭排列且站上5日線，兩者一致
2026-09-11,2395.TW,-0.512,-51.2,中度偏空延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 246 天（樣本充足（>200，具統計意義））,樺漢,674.0,664.8,675.9,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2474.TW,-0.537,-53.7,中度偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 228 天（樣本充足（>200，具統計意義））,晟銘電,204.0,205.4,206.25,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,8103.TW,-0.587,-58.7,中度偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,台達電,113.0,116.3,108.1,多頭排列,,非強烈訊號，不套用均線濾網
